date,BEN,CO,EBE,NMHC,NO,NO_2,O_3,PM10,PM25,SO_2,TCH,TOL,station
2016-11-01 01:00:00,,0.699999988079071,,,153.0,77.0,,,,7.0,,,28079004
2016-11-01 01:00:00,3.0999999046325684,1.100000023841858,2.0,0.5299999713897705,260.0,144.0,4.0,46.0,24.0,18.0,2.440000057220459,14.399999618530273,28079008
2016-11-01 01:00:00,5.900000095367432,,7.5,,297.0,139.0,,,,,,26.0,28079011
2016-11-01 01:00:00,,1.0,,,154.0,113.0,2.0,,,,,,28079016
2016-11-01 01:00:00,,,,,275.0,127.0,2.0,,,18.0,,,28079017
2016-11-01 01:00:00,0.8999999761581421,0.5,0.5,,66.0,82.0,1.0,27.0,,8.0,,6.0,28079018
2016-11-01 01:00:00,0.699999988079071,0.800000011920929,0.4000000059604645,0.12999999523162842,57.0,66.0,3.0,23.0,15.0,4.0,1.350000023841858,5.0,28079024
2016-11-01 01:00:00,,,,,52.0,78.0,1.0,,,,,,28079027
2016-11-01 01:00:00,,1.2000000476837158,,,205.0,85.0,6.0,,,,,,28079035
2016-11-01 01:00:00,,0.699999988079071,,,114.0,91.0,,37.0,,6.0,,,28079036
2016-11-01 01:00:00,2.5,,3.299999952316284,,166.0,114.0,,45.0,27.0,8.0,,16.299999237060547,28079038
2016-11-01 01:00:00,,2.4000000953674316,,,475.0,165.0,5.0,,,,,,28079039
2016-11-01 01:00:00,,,,,74.0,109.0,,38.0,,8.0,,,28079040
2016-11-01 01:00:00,,,,,168.0,93.0,,41.0,26.0,,,,28079047
2016-11-01 01:00:00,,,,,150.0,85.0,,31.0,21.0,,,,28079048
2016-11-01 01:00:00,,,,,81.0,97.0,1.0,,,,,,28079049
2016-11-01 01:00:00,,,,,307.0,134.0,,55.0,35.0,,,,28079050
2016-11-01 01:00:00,,,,,160.0,113.0,1.0,,,,,,28079054
2016-11-01 01:00:00,1.399999976158142,,1.2999999523162842,0.20000000298023224,72.0,84.0,,21.0,,,1.5,6.900000095367432,28079055
2016-11-01 01:00:00,,0.5,,,67.0,83.0,6.0,,,,,,28079056
2016-11-01 01:00:00,,1.0,,,181.0,109.0,,42.0,,13.0,,,28079057
2016-11-01 01:00:00,,,,,4.0,36.0,11.0,,,,,,28079058
2016-11-01 01:00:00,,,,,99.0,66.0,7.0,,,,,,28079059
2016-11-01 01:00:00,,,,,79.0,103.0,4.0,29.0,,,,,28079060
2016-11-01 02:00:00,,0.6000000238418579,,,116.0,65.0,,,,6.0,,,28079004
2016-11-01 02:00:00,2.700000047683716,1.0,2.0999999046325684,0.4000000059604645,139.0,114.0,4.0,37.0,21.0,14.0,2.299999952316284,15.0,28079008
2016-11-01 02:00:00,4.699999809265137,,5.599999904632568,,111.0,97.0,,,,,,16.700000762939453,28079011
2016-11-01 02:00:00,,0.699999988079071,,,67.0,90.0,2.0,,,,,,28079016
2016-11-01 02:00:00,,,,,99.0,84.0,2.0,,,13.0,,,28079017
2016-11-01 02:00:00,0.5,0.5,0.20000000298023224,,61.0,73.0,1.0,17.0,,7.0,,3.299999952316284,28079018
2016-11-01 02:00:00,0.699999988079071,0.699999988079071,0.4000000059604645,0.12999999523162842,48.0,59.0,3.0,23.0,15.0,3.0,1.350000023841858,5.0,28079024
2016-11-01 02:00:00,,,,,13.0,57.0,4.0,,,,,,28079027
2016-11-01 02:00:00,,0.8999999761581421,,,139.0,70.0,5.0,,,,,,28079035
2016-11-01 02:00:00,,0.699999988079071,,,106.0,88.0,,29.0,,6.0,,,28079036
2016-11-01 02:00:00,3.299999952316284,,3.4000000953674316,,201.0,114.0,,41.0,25.0,8.0,,19.100000381469727,28079038
2016-11-01 02:00:00,,1.399999976158142,,,257.0,118.0,5.0,,,,,,28079039
2016-11-01 02:00:00,,,,,47.0,94.0,,23.0,,7.0,,,28079040
2016-11-01 02:00:00,,,,,89.0,69.0,,28.0,18.0,,,,28079047
2016-11-01 02:00:00,,,,,131.0,83.0,,31.0,22.0,,,,28079048
2016-11-01 02:00:00,,,,,123.0,98.0,1.0,,,,,,28079049
2016-11-01 02:00:00,,,,,171.0,104.0,,42.0,27.0,,,,28079050
2016-11-01 02:00:00,,,,,169.0,113.0,1.0,,,,,,28079054
